Index,Campaign Period Sales,Buy,Historical Sales Volume,Number of Prior Year Transactions,Number of Transactions,Purchase Breadth,Customer_engagement_days,Days_since_last_transaction,Customer_engagement_length,Language_group,Repurchase Method,Last Transaction Channel,Number of Employees,Service Level,Do No Disturb,Email Available,Desk,Executive Chair,Standard Chair,Monitor,Printer,Computer,Insurance,Toner,Office Supplies
11672,0.0,0,136670.60000000003,23,23,2,3739,2571,Short-term,English,NOTICE,MAIL,1-5,Premier,False,False,False,False,False,False,False,False,True,False,True
11673,0.0,0,192294.96000000005,20,20,1,8639,2868,Mid-term,Unknown,AUTO RENEW,AUTO RENEW,1-5,Standard,False,True,False,False,False,False,False,False,False,False,True
11674,0.0,0,339003.548,19,19,1,7001,3392,Mid-term,English,AUTO RENEW,AUTO RENEW,1-5,Standard,False,True,False,False,False,False,False,False,False,False,True
11675,121.57333333333334,1,84736.61333333334,17,17,1,10281,2171,Mid-term,English,NOTICE,MAIL,1-5,Standard,False,False,False,False,False,False,False,False,False,False,True
11676,174.28666666666666,1,151629.4,15,15,2,10312,2299,Mid-term,English,AUTO RENEW,WEB,1-5,Standard,True,True,True,False,False,False,False,False,False,False,True
11677,0.0,0,993831.2228571428,18,18,2,13448,3249,Mid-term,English,NOTICE,MAIL,6-10,Premier,False,True,False,True,False,False,False,False,False,False,True
11678,0.0,0,1003266.6666666667,20,20,2,9537,3339,Mid-term,English,NOTICE,MAIL,6-10,Standard,False,False,True,False,False,False,False,False,False,False,True
11679,0.0,0,1617234.2857142857,25,25,1,9112,4335,Mid-term,English,NOTICE,BRANCH (PHONE),6-10,Standard,False,False,False,False,False,False,False,False,False,False,True
11680,0.0,0,723027.2000000001,24,24,2,10451,3129,Mid-term,English,NOTICE,BRANCH (PHONE),6-10,Premier,False,True,False,False,False,False,False,False,False,True,True
11681,0.0,0,247834.45714285717,9,9,1,9325,5740,Mid-term,English,NOTICE,MAIL,6-10,Standard,False,False,False,False,False,False,False,False,False,False,True
11682,0.0,0,93350.4,18,18,2,11243,2356,Mid-term,English,AUTO RENEW,AUTO RENEW,6-10,Premier,False,True,False,False,False,False,False,False,True,False,True
11683,0.0,0,207240.0380952381,17,17,1,12886,1827,Mid-term,Unknown,NOTICE,MAIL,6-10,Premier,False,False,False,False,False,False,False,False,False,False,True
11684,307.84000000000003,1,83116.80000000002,9,9,1,9704,2139,Mid-term,English,AUTO RENEW,AUTO RENEW,11-50,Premier,False,True,False,False,False,False,False,False,False,False,True
11685,0.0,0,386996.2666666666,20,20,1,10678,3342,Mid-term,English,NOTICE,WEB,11-50,Premier,False,True,False,False,False,False,False,False,False,False,True
11686,266.85714285714283,1,253514.28571428568,19,19,1,10192,2839,Mid-term,English,NOTICE,MAIL,6-10,Standard,False,False,False,False,False,False,False,False,False,False,True
11687,0.0,0,441802.6971428571,18,18,3,11243,2806,Mid-term,English,NOTICE,WEB,6-10,Premier,False,True,True,True,False,False,False,False,False,False,True
11688,188.35,1,176672.30000000002,7,7,0,18532,2469,Long-term,English,NOTICE,MAIL,1-5,Premier,True,False,False,False,False,False,False,False,False,False,False
11689,0.0,0,429453.2,19,19,1,8806,3030,Mid-term,English,NOTICE,BRANCH (PHONE),1-5,Premier,False,True,False,False,False,False,False,False,False,False,True
